id;start_date;end_date;language
1;2021-02-01T12:33:38;2021-02-01T10:23:53;SPANISH
2;2021-01-31T17:23:49;2021-02-01T12:28:14;SPANISH
3;2021-02-01T08:19:08;2021-01-31T18:53:17;FRENCH
4;2021-01-31T23:36:39;2021-02-01T11:08:05;FRENCH
5;2021-02-01T09:06:57;2021-02-01T13:53:56;FRENCH
6;2021-02-01T02:59:18;2021-02-01T15:07:32;FRENCH
7;2021-02-01T04:44:38;2021-01-31T22:35:29;FRENCH
8;2021-02-01T03:40:51;2021-02-01T13:56:59;SPANISH
9;2021-02-01T02:22:00;2021-01-31T23:03:23;SPANISH
10;2021-02-01T10:34:04;2021-01-31T21:08:34;SPANISH
